"Cup"	"Number"	"SampleID"	"HeightAu"	"Pppm"	"myPppm"
"1"	13	1	"T1-13"	701.5028076	0.045706838	0.0502338931320025
"2"	13	2	"T1-13"	721.0478516	0.046441782	0.0509683670503177
"3"	14	3	"T2-13"	-183.2217712	0.012438947	0.0169872487130393
"4"	14	4	"T2-13"	-183.2342072	0.01243848	0.0169867813865064
"5"	17	5	"T1-14"	216.2508545	0.027460134	0.0319988406366766
"6"	17	6	"T1-14"	199.3082886	0.026823049	0.03136216400587
"7"	18	7	"T2-14"	-73.92302704	0.016548857	0.0210945342678901
"8"	18	8	"T2-14"	-94.3285141	0.015781559	0.0203277261688095
"9"	21	9	"T1-15"	110.7889099	0.023494495	0.0280357363487813
"10"	21	10	"T1-15"	117.8443604	0.023759799	0.0283008697695203
"11"	22	11	"T2-15"	-29.21161079	0.01823012	0.0227747233268945
"12"	22	12	"T2-15"	20.30069733	0.02009191	0.0246353228195191
"13"	25	13	"T1-16"	84.92012787	0.022521764	0.0270636256848393
"14"	25	14	"T1-16"	55.76333618	0.021425394	0.0259679564687427
"15"	26	15	"T2-16"	24.39089012	0.02024571	0.0247890262302219
"16"	26	16	"T2-16"	0.775041759	0.019357694	0.0239015774897616
"17"	29	17	"T1-17"	88.37112427	0.022651531	0.0271933090382255
"18"	29	18	"T1-17"	61.69801331	0.021648554	0.0261909728797371
"19"	30	19	"T2-17"	58.81732941	0.021540232	0.0260827210287072
"20"	30	20	"T2-17"	63.35051346	0.021710692	0.0262530713974066
"21"	33	21	"T1-18"	81.01274109	0.022374837	0.0269167918542949
"22"	33	22	"T1-18"	66.70939636	0.021836994	0.0263792932613597
"23"	34	23	"T2-18"	78.90688324	0.02229565	0.0268376568231072
"24"	34	24	"T2-18"	62.86954498	0.021692606	0.0262349973115109
"25"	37	25	"T1-19"	176.0265656	0.025947597	0.0304872712035341
"26"	37	26	"T1-19"	153.2071838	0.02508953	0.0296297525013927
"27"	38	27	"T2-19"	18.02861786	0.020006472	0.024549941425082
"28"	38	28	"T2-19"	39.9051857	0.020829087	0.0253720305695594
"29"	41	29	"T1-20"	206.4425659	0.027091317	0.0316302596214582
"30"	41	30	"T1-20"	192.512146	0.026567496	0.0311067749934507
"31"	42	31	"T2-20"	-18.63066101	0.018627992	0.0231723398093344
"32"	42	32	"T2-20"	-29.58973312	0.018215902	0.0227605140475847
"33"	45	33	"T1-21"	322.9489746	0.031472251	0.0360083985761067
"34"	45	34	"T1-21"	302.9654846	0.030720823	0.0352574485039599
"35"	46	35	"T2-21"	-9.292097092	0.018979145	0.0235232692639977
"36"	46	36	"T2-21"	-31.38660622	0.018148335	0.0226929902074505
"37"	49	37	"T1-22"	485.89328	0.037599374	0.0421316051779586
"38"	49	38	"T1-22"	493.6783752	0.037892111	0.0424241575700637
"39"	50	39	"T2-22"	40.0180397	0.020833332	0.0253762714563836
"40"	50	40	"T2-22"	14.40952301	0.019870386	0.024413941179944
"41"	53	41	"T1-23"	626.2609253	0.042877551	0.0474064142010627
"42"	53	42	"T1-23"	616.2221069	0.042500068	0.0470291702160657
"43"	54	43	"T2-23"	39.39183044	0.020809785	0.0253527394362521
"44"	54	44	"T2-23"	0.954185665	0.019364432	0.0239083094534544
"45"	57	45	"T1-24"	664.8886108	0.044330049	0.048857985633935
"46"	57	46	"T1-24"	656.7630005	0.044024508	0.0485526371867407
"47"	58	47	"T2-24"	0.751334727	0.019356804	0.0239006866144745
"48"	58	48	"T2-24"	-22.89807701	0.018467525	0.0230119766118609
"49"	61	49	"T1-25"	603.6002197	0.042025454	0.0465548583164191
"50"	61	50	"T1-25"	593.9595337	0.041662939	0.0461925755596411
"51"	62	51	"T2-25"	-14.48395062	0.018783918	0.0233281670680636
"52"	62	52	"T2-25"	-21.89370537	0.018505292	0.023049719416322
