Cup	Number	SampleID	HeightAu	Pppm
13	1	T1-13	701.5028076	0.045706838
13	2	T1-13	721.0478516	0.046441782
14	3	T2-13	-183.2217712	0.012438947
14	4	T2-13	-183.2342072	0.01243848
17	5	T1-14	216.2508545	0.027460134
17	6	T1-14	199.3082886	0.026823049
18	7	T2-14	-73.92302704	0.016548857
18	8	T2-14	-94.3285141	0.015781559
21	9	T1-15	110.7889099	0.023494495
21	10	T1-15	117.8443604	0.023759799
22	11	T2-15	-29.21161079	0.01823012
22	12	T2-15	20.30069733	0.02009191
25	13	T1-16	84.92012787	0.022521764
25	14	T1-16	55.76333618	0.021425394
26	15	T2-16	24.39089012	0.02024571
26	16	T2-16	0.775041759	0.019357694
29	17	T1-17	88.37112427	0.022651531
29	18	T1-17	61.69801331	0.021648554
30	19	T2-17	58.81732941	0.021540232
30	20	T2-17	63.35051346	0.021710692
33	21	T1-18	81.01274109	0.022374837
33	22	T1-18	66.70939636	0.021836994
34	23	T2-18	78.90688324	0.02229565
34	24	T2-18	62.86954498	0.021692606
37	25	T1-19	176.0265656	0.025947597
37	26	T1-19	153.2071838	0.02508953
38	27	T2-19	18.02861786	0.020006472
38	28	T2-19	39.9051857	0.020829087
41	29	T1-20	206.4425659	0.027091317
41	30	T1-20	192.512146	0.026567496
42	31	T2-20	-18.63066101	0.018627992
42	32	T2-20	-29.58973312	0.018215902
45	33	T1-21	322.9489746	0.031472251
45	34	T1-21	302.9654846	0.030720823
46	35	T2-21	-9.292097092	0.018979145
46	36	T2-21	-31.38660622	0.018148335
49	37	T1-22	485.89328	0.037599374
49	38	T1-22	493.6783752	0.037892111
50	39	T2-22	40.0180397	0.020833332
50	40	T2-22	14.40952301	0.019870386
53	41	T1-23	626.2609253	0.042877551
53	42	T1-23	616.2221069	0.042500068
54	43	T2-23	39.39183044	0.020809785
54	44	T2-23	0.954185665	0.019364432
57	45	T1-24	664.8886108	0.044330049
57	46	T1-24	656.7630005	0.044024508
58	47	T2-24	0.751334727	0.019356804
58	48	T2-24	-22.89807701	0.018467525
61	49	T1-25	603.6002197	0.042025454
61	50	T1-25	593.9595337	0.041662939
62	51	T2-25	-14.48395062	0.018783918
62	52	T2-25	-21.89370537	0.018505292
